"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2024","4.4100","4.4500","4.4520","4.3625","36.23M","-1.85%"
"10/29/2024","4.4930","4.6495","4.6495","4.4510","48.45M","-3.01%"
"10/28/2024","4.6325","4.6140","4.6350","4.5660","22.61M","1.25%"
"10/25/2024","4.5755","4.6000","4.6490","4.5705","22.80M","0.26%"
"10/24/2024","4.5635","4.6115","4.6585","4.5635","20.54M","-1.03%"
"10/23/2024","4.6110","4.6000","4.6255","4.5850","16.27M","-0.10%"
"10/22/2024","4.6155","4.6105","4.6235","4.5415","16.55M","0.78%"
"10/21/2024","4.5800","4.6145","4.6405","4.5800","14.54M","-1.29%"
"10/18/2024","4.6400","4.5835","4.6700","4.5480","28.42M","1.28%"
"10/17/2024","4.5815","4.6230","4.6590","4.5815","21.22M","-0.62%"
"10/16/2024","4.6100","4.6000","4.6495","4.5665","22.26M","-0.52%"
"10/15/2024","4.6340","4.6240","4.6540","4.5620","22.11M","0.61%"
"10/14/2024","4.6060","4.5660","4.6060","4.5455","13.99M","0.73%"
"10/11/2024","4.5725","4.5305","4.5725","4.5230","15.53M","0.83%"
"10/10/2024","4.5350","4.5345","4.5810","4.5030","18.27M","0.01%"
"10/09/2024","4.5345","4.5500","4.5560","4.4815","16.20M","-0.60%"
"10/08/2024","4.5620","4.5255","4.5770","4.5020","16.51M","0.04%"
"10/07/2024","4.5600","4.5180","4.5800","4.4910","26.41M","1.79%"
"10/04/2024","4.4800","4.4400","4.5175","4.4230","27.60M","1.20%"
"10/03/2024","4.4270","4.4150","4.4450","4.3645","19.84M","0.02%"
"10/02/2024","4.4260","4.3685","4.4415","4.3500","23.19M","1.14%"
"10/01/2024","4.3760","4.6100","4.6195","4.3345","39.75M","-4.88%"
"09/30/2024","4.6005","4.6300","4.6830","4.5915","24.71M","-1.17%"
"09/27/2024","4.6550","4.6195","4.6655","4.5930","23.89M","0.42%"
"09/26/2024","4.6355","4.5600","4.6480","4.5585","24.46M","2.54%"
"09/25/2024","4.5205","4.5110","4.5765","4.5055","18.31M","-0.74%"
"09/24/2024","4.5540","4.5110","4.5785","4.5110","18.44M","1.46%"
"09/23/2024","4.4885","4.5600","4.5870","4.4685","21.35M","-1.54%"
"09/20/2024","4.5585","4.5800","4.6285","4.5585","68.99M","-0.90%"
"09/19/2024","4.6000","4.5595","4.6050","4.5435","36.20M","2.03%"
"09/18/2024","4.5085","4.5110","4.5455","4.5065","16.49M","-0.06%"
"09/17/2024","4.5110","4.4500","4.5375","4.4500","25.02M","1.59%"
"09/16/2024","4.4405","4.3890","4.4675","4.3800","15.78M","0.79%"
"09/13/2024","4.4055","4.3145","4.4355","4.3130","26.34M","1.83%"
"09/12/2024","4.3265","4.3145","4.3525","4.2695","19.40M","1.90%"
"09/11/2024","4.2460","4.2920","4.3265","4.2045","20.60M","-0.01%"
"09/10/2024","4.2465","4.3400","4.3840","4.2300","35.89M","-2.20%"
"09/09/2024","4.3420","4.3310","4.3665","4.3105","13.22M","1.15%"
"09/06/2024","4.2925","4.3565","4.4250","4.2925","22.18M","-2.17%"
"09/05/2024","4.3875","4.3300","4.4665","4.3270","15.53M","0.76%"
"09/04/2024","4.3545","4.2800","4.3990","4.2545","20.45M","-0.39%"
"09/03/2024","4.3715","4.4820","4.4990","4.3600","28.91M","-2.35%"
"09/02/2024","4.4765","4.4935","4.5200","4.4385","15.92M","-0.43%"
"08/30/2024","4.4960","4.4925","4.5310","4.4755","35.13M","0.17%"
"08/29/2024","4.4885","4.4700","4.5335","4.4685","20.36M","0.50%"
"08/28/2024","4.4660","4.4600","4.4850","4.4455","26.21M","0.66%"
"08/27/2024","4.4365","4.3500","4.4665","4.3375","26.20M","2.53%"
"08/26/2024","4.3270","4.3380","4.3560","4.2600","12.28M","-0.56%"
"08/23/2024","4.3515","4.2940","4.3610","4.2845","15.68M","1.75%"
"08/22/2024","4.2765","4.2430","4.2855","4.2270","15.06M","0.49%"
"08/21/2024","4.2555","4.2330","4.2730","4.2165","11.37M","0.37%"
"08/20/2024","4.2400","4.2910","4.2960","4.2175","13.96M","-1.05%"
"08/19/2024","4.2850","4.2435","4.2920","4.2300","13.48M","1.35%"
"08/16/2024","4.2280","4.2240","4.2510","4.2025","13.74M","0.08%"
"08/15/2024","4.2245","4.1275","4.2255","4.1010","24.18M","3.04%"
"08/14/2024","4.1000","4.1405","4.1455","4.0965","11.16M","-0.32%"
"08/13/2024","4.1130","4.1055","4.1285","4.0815","10.59M","0.59%"
"08/12/2024","4.0890","4.1275","4.1395","4.0665","17.97M","-0.24%"
"08/09/2024","4.0990","4.0855","4.1285","4.0505","14.15M","0.84%"
"08/08/2024","4.0650","4.0500","4.1015","3.9910","17.13M","-0.10%"
"08/07/2024","4.0690","4.0295","4.1230","3.9915","31.58M","2.65%"
"08/06/2024","3.9640","4.0470","4.0575","3.9155","27.78M","-0.53%"
"08/05/2024","3.9850","3.8800","4.0130","3.8000","47.22M","-1.58%"
"08/02/2024","4.0490","4.1895","4.2205","4.0195","55.72M","-4.90%"
"08/01/2024","4.2575","4.4250","4.4365","4.2460","35.71M","-4.43%"
"07/31/2024","4.4550","4.5230","4.5260","4.4155","28.18M","-1.26%"
"07/30/2024","4.5120","4.4530","4.5240","4.4510","21.20M","0.98%"
"07/29/2024","4.4680","4.5895","4.6105","4.4530","18.67M","-1.37%"
"07/26/2024","4.5300","4.5390","4.5650","4.5020","17.58M","-0.53%"
"07/25/2024","4.5540","4.6405","4.6615","4.4675","32.43M","-3.21%"
"07/24/2024","4.7050","4.6000","4.7095","4.5800","46.67M","3.03%"
"07/23/2024","4.5665","4.5425","4.5790","4.4970","26.40M","0.78%"
"07/22/2024","4.5310","4.4670","4.5435","4.4435","21.81M","2.18%"
"07/19/2024","4.4345","4.4525","4.4725","4.4120","41.56M","-1.19%"
"07/18/2024","4.4880","4.4995","4.5260","4.4685","14.27M","0.31%"
"07/17/2024","4.4740","4.4410","4.4925","4.4190","28.37M","0.75%"
"07/16/2024","4.4405","4.4300","4.4545","4.4050","14.11M","-0.24%"
"07/15/2024","4.4510","4.4800","4.5015","4.4290","13.91M","-1.29%"
"07/12/2024","4.5090","4.4795","4.5130","4.4700","14.48M","1.04%"
"07/11/2024","4.4625","4.5060","4.5205","4.4455","29.49M","-0.78%"
"07/10/2024","4.4975","4.3810","4.4975","4.3720","22.24M","2.58%"
"07/09/2024","4.3845","4.4280","4.4470","4.3680","21.63M","-1.42%"
"07/08/2024","4.4475","4.4430","4.5220","4.4260","30.86M","0.06%"
"07/05/2024","4.4450","4.5195","4.5275","4.4015","18.11M","-1.38%"
"07/04/2024","4.5070","4.4405","4.5115","4.4280","19.99M","2.00%"
"07/03/2024","4.4185","4.3500","4.4230","4.3410","19.64M","2.20%"
"07/02/2024","4.3235","4.4190","4.4300","4.2770","25.57M","-2.79%"
"07/01/2024","4.4475","4.4030","4.4650","4.3770","27.89M","2.70%"
"06/28/2024","4.3305","4.3575","4.3680","4.2960","23.91M","-0.15%"
"06/27/2024","4.3370","4.3500","4.3515","4.3055","23.53M","-0.17%"
"06/26/2024","4.3445","4.3955","4.4070","4.3200","19.04M","-0.82%"
"06/25/2024","4.3805","4.4265","4.4400","4.3515","27.25M","-0.65%"
"06/24/2024","4.4090","4.3505","4.4170","4.3385","22.88M","1.71%"
"06/21/2024","4.3350","4.4420","4.4430","4.2820","71.33M","-2.39%"
"06/20/2024","4.4410","4.4475","4.4670","4.4050","23.14M","-0.24%"
"06/19/2024","4.4515","4.4570","4.4875","4.4165","42.98M","-0.01%"
"06/18/2024","4.4520","4.4535","4.4665","4.4150","22.31M","0.95%"
"06/17/2024","4.4100","4.3990","4.4260","4.3370","29.98M","0.72%"
"06/14/2024","4.3785","4.4210","4.4370","4.3025","69.45M","-0.51%"
"06/13/2024","4.4010","4.5965","4.6070","4.3785","63.48M","-4.33%"
"06/12/2024","4.6000","4.6385","4.6680","4.6000","38.90M","-0.14%"
"06/11/2024","4.6065","4.7455","4.7455","4.5615","33.26M","-2.22%"
"06/10/2024","4.7110","4.7400","4.7415","4.6540","30.10M","-0.49%"
"06/07/2024","4.7340","4.7445","4.7740","4.7000","21.56M","-0.20%"
"06/06/2024","4.7435","4.6945","4.7650","4.6560","23.38M","1.36%"
"06/05/2024","4.6800","4.7345","4.7525","4.6655","23.15M","-1.28%"
"06/04/2024","4.7405","4.8470","4.8695","4.6935","38.85M","-2.28%"
"06/03/2024","4.8510","4.8500","4.8810","4.8400","20.43M","0.34%"
"05/31/2024","4.8345","4.8000","4.8345","4.7765","60.85M","0.97%"
"05/30/2024","4.7880","4.6780","4.7965","4.6710","22.51M","2.11%"
"05/29/2024","4.6890","4.7455","4.7575","4.6740","19.40M","-1.52%"
"05/28/2024","4.7615","4.7600","4.7840","4.7320","16.32M","0.04%"
"05/27/2024","4.7595","4.7660","4.7735","4.7390","10.29M","0.15%"
"05/24/2024","4.7525","4.7355","4.7680","4.7035","22.27M","-0.65%"
"05/23/2024","4.7835","4.8120","4.8300","4.7685","18.72M","-0.45%"
"05/22/2024","4.8050","4.8500","4.8640","4.8050","19.36M","-0.76%"
"05/21/2024","4.8420","4.8385","4.8600","4.7965","24.20M","-0.74%"
"05/20/2024","4.8780","4.8610","4.8880","4.8545","15.65M","0.36%"
"05/17/2024","4.8605","4.7755","4.8605","4.7750","38.43M","1.17%"
"05/16/2024","4.8045","4.8185","4.8450","4.7970","19.46M","-0.16%"
"05/15/2024","4.8120","4.7715","4.8365","4.7580","36.91M","1.25%"
"05/14/2024","4.7525","4.7500","4.7675","4.6925","22.08M","-0.06%"
"05/13/2024","4.7555","4.7265","4.7640","4.7145","15.42M","0.44%"
"05/10/2024","4.7345","4.7400","4.7745","4.7210","20.12M","-0.74%"
"05/09/2024","4.7700","4.7695","4.7960","4.7265","19.08M","-0.03%"
"05/08/2024","4.7715","4.7330","4.7835","4.7180","37.87M","0.92%"
"05/07/2024","4.7280","4.5915","4.7380","4.5915","48.97M","3.45%"
"05/06/2024","4.5705","4.5350","4.5765","4.5045","22.36M","0.88%"
"05/03/2024","4.5305","4.6000","4.6000","4.5140","","-0.77%"
"05/02/2024","4.5655","4.6065","4.6200","4.5410","34.06M","-0.16%"
"04/30/2024","4.5730","4.6555","4.7360","4.5565","57.11M","-3.74%"